,AKBNK,ARCLK,ASELS,BIMAS,DOHOL,EKGYO,EREGL,FROTO,GUBRF,SAHOL,KRDMD,KCHOL,KOZAL,KOZAA,PGSUS,PETKM,SASA,TAVHL,TKFEN,TCELL,TUPRS,THYAO,TTKOM,GARAN,HALKB,ISCTR,SISE,VAKBN,VESTL,YKBNK
AKBNK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCLK,0.333567513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASELS,0.560741614,-0.369701925,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIMAS,0.627334462,0.146065665,0.560666139,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DOHOL,0.591769634,0.871385717,-0.058375553,0.444269958,1,,,,,,,,,,,,,,,,,,,,,,,,,
EKGYO,0.826967234,0.334046516,0.406303784,0.564861874,0.606974574,1,,,,,,,,,,,,,,,,,,,,,,,,
EREGL,0.065652681,0.848201148,-0.679543458,-0.170438447,0.630040413,0.080132751,1,,,,,,,,,,,,,,,,,,,,,,,
FROTO,0.159210061,0.935174754,-0.549328713,0.011331435,0.775850856,0.245336001,0.875293591,1,,,,,,,,,,,,,,,,,,,,,,
GUBRF,0.489443637,0.891470947,-0.180914892,0.343054129,0.891619509,0.533441702,0.682742143,0.860503671,1,,,,,,,,,,,,,,,,,,,,,
SAHOL,0.950680742,0.521167087,0.409774992,0.551021983,0.716855018,0.817179769,0.237392213,0.373870401,0.646313981,1,,,,,,,,,,,,,,,,,,,,
KRDMD,0.296502062,0.950994901,-0.486864969,0.055689054,0.832331826,0.338134966,0.92669201,0.944243284,0.872331984,0.469968923,1,,,,,,,,,,,,,,,,,,,
KCHOL,0.690865697,0.825772352,-0.069463788,0.360372864,0.86179517,0.707113505,0.617327687,0.781286378,0.894060417,0.817890778,0.821662627,1,,,,,,,,,,,,,,,,,,
KOZAL,0.272864922,0.816810524,-0.399632204,0.075160681,0.784364327,0.508899104,0.755230807,0.864618672,0.842278911,0.445101743,0.873857827,0.794587116,1,,,,,,,,,,,,,,,,,
KOZAA,0.552445855,0.575953206,0.02022544,0.258379988,0.696698739,0.728545713,0.446976172,0.54437581,0.722483504,0.635605763,0.631618483,0.74484057,0.824392673,1,,,,,,,,,,,,,,,,
PGSUS,0.429650759,0.883044367,-0.361106757,0.109214539,0.813899153,0.483973042,0.832408632,0.886501852,0.887344292,0.592398766,0.936945164,0.897708295,0.861264696,0.701214325,1,,,,,,,,,,,,,,,
PETKM,0.173174198,0.908922754,-0.555044979,0.015234262,0.751139394,0.218100356,0.937236795,0.917880489,0.830999565,0.342335271,0.961257601,0.732581903,0.81282979,0.542372281,0.89574274,1,,,,,,,,,,,,,,
SASA,-0.068471596,0.841415728,-0.703312812,-0.190881456,0.613887968,0.080428017,0.9030264,0.93294599,0.741825758,0.144294026,0.896103498,0.623269725,0.849395253,0.503825107,0.817088142,0.920015221,1,,,,,,,,,,,,,
TAVHL,0.392937402,0.7963094,-0.397412368,-0.007275854,0.712931293,0.491957332,0.811123854,0.832349586,0.764197689,0.560770049,0.87311374,0.84360285,0.827698063,0.65428161,0.94497181,0.803737172,0.774082757,1,,,,,,,,,,,,
TKFEN,0.746500891,0.520587877,0.26970634,0.618213631,0.770521239,0.816963267,0.270048373,0.39703416,0.662081353,0.740048128,0.510942521,0.74255489,0.607742116,0.754306096,0.571175863,0.440315857,0.26870083,0.478302275,1,,,,,,,,,,,
TCELL,0.617527074,0.588944985,0.042331174,0.224891507,0.646177278,0.626956762,0.516479503,0.493557826,0.552218465,0.707331947,0.595020634,0.683930086,0.611848938,0.652895697,0.648369959,0.488139933,0.403452405,0.717112913,0.589132107,1,,,,,,,,,,
TUPRS,0.767347236,0.699331614,0.035960234,0.404456557,0.808884461,0.722331379,0.575160901,0.618571163,0.788755071,0.840775525,0.734832045,0.898527708,0.676449808,0.751252543,0.852610809,0.660826269,0.471902475,0.815285598,0.733392788,0.7422993,1,,,,,,,,,
THYAO,0.405772055,0.720315575,-0.344488174,0.045900688,0.644240234,0.471453652,0.74858054,0.761201501,0.715884439,0.552518733,0.806564641,0.816475245,0.734049533,0.582908044,0.92092993,0.766095559,0.707693944,0.95956887,0.451106138,0.687351408,0.823340944,1,,,,,,,,
TTKOM,0.928775077,0.155877782,0.686833807,0.675228792,0.474548892,0.843483038,-0.137295972,-0.011062011,0.367331758,0.865401017,0.116767977,0.559767468,0.184349806,0.556616491,0.282282448,0.004407256,-0.208922381,0.248280471,0.7301259,0.5612648,0.658988994,0.28093088,1,,,,,,,
GARAN,0.957119135,0.485446662,0.361088148,0.482537041,0.67325946,0.776861138,0.284424475,0.327118395,0.580221312,0.95218448,0.472727309,0.782825897,0.39953061,0.605529119,0.592245189,0.345566523,0.116108306,0.577472808,0.714306116,0.710290906,0.869733774,0.570188524,0.841956032,1,,,,,,
HALKB,0.691755112,-0.321456432,0.735714015,0.476245906,-0.006475066,0.642142365,-0.518844162,-0.402925337,-0.103983673,0.57312532,-0.346702361,0.177359752,-0.195355806,0.198400916,-0.128376081,-0.451495652,-0.552923518,-0.046870728,0.390726224,0.301292269,0.280406835,0.020347955,0.789472733,0.556664952,1,,,,,
ISCTR,0.934612397,0.254963999,0.632562136,0.594751259,0.481848365,0.622547082,-0.021497546,0.042377387,0.35931237,0.875917296,0.177146891,0.527562909,0.047441075,0.339555633,0.272844812,0.064890619,-0.199431304,0.220062077,0.564820948,0.494150495,0.632646165,0.243559211,0.853054577,0.885689763,0.622807812,1,,,,
SISE,0.350816007,0.849541091,-0.357003211,0.05135079,0.775191465,0.33119472,0.858340178,0.818010589,0.737863017,0.501950523,0.893921617,0.732204001,0.77513662,0.594922366,0.860551127,0.833753093,0.77210993,0.86343911,0.480785276,0.756647372,0.743508723,0.812425834,0.19882266,0.533522969,-0.193821571,0.260919487,1,,,
VAKBN,0.704774353,-0.365056544,0.864578402,0.574030059,-0.040457624,0.571794992,-0.622327283,-0.50368437,-0.135909091,0.54083765,-0.422153927,0.089090036,-0.341891113,0.1060422,-0.248442896,-0.501496962,-0.673320018,-0.257176448,0.372189252,0.107027719,0.182692758,-0.18105095,0.803121063,0.518286063,0.903125831,0.7115058,-0.346423872,1,,
VESTL,0.01629598,0.881440568,-0.66179552,-0.063205648,0.692287888,0.152454139,0.878756247,0.953192178,0.786837731,0.2329453,0.911303422,0.678760237,0.842462519,0.490221644,0.825102121,0.897764649,0.948347558,0.776943625,0.298506138,0.43456116,0.520365096,0.719133186,-0.131602305,0.191585059,-0.496680679,-0.105442618,0.781264117,-0.604888537,1,
YKBNK,0.961703891,0.35292981,0.58161991,0.637070884,0.587303021,0.736167233,0.028305201,0.162386094,0.488278662,0.928636715,0.27214372,0.659490756,0.176448509,0.437223253,0.385522981,0.156878626,-0.098912675,0.323863821,0.660280038,0.507704629,0.714032732,0.338145195,0.881363436,0.917342576,0.624696863,0.964454063,0.293236186,0.698096429,0.006320895,1
